date,time,x,y,z
2021-12-31,23:42:00,580097.336,-819477.269,6971833.474
2021-12-31,23:45:00,-556348.107,-1566013.669,6845379.446
2021-12-31,23:48:00,-1690951.773,-2225602.384,6467359.447
2021-12-31,23:51:00,-2779724.029,-2774795.453,5851637.16
2021-12-31,23:54:00,-3779783.815,-3195305.02,5020812.365
2021-12-31,23:57:00,-4651084.464,-3474632.858,4005413.804
2022-01-01,0:00:00,-5358057.468,-3606446.016,2842781.751
2022-01-01,0:03:00,-5871104.638,-3590685.922,1575687.515
2022-01-01,0:06:00,-6167871.515,-3433406.84,250728.251
2022-01-01,0:09:00,-6234229.135,-3146344.544,-1083438.517
2022-01-01,0:12:00,-6064913.052,-2746240.176,-2377940.537
2022-01-01,0:15:00,-5663781.804,-2253955.375,-3585528.888
2022-01-01,0:18:00,-5043694.532,-1693434.336,-4662318.927
2022-01-01,0:21:00,-4226027.475,-1090570.615,-5569366.955
2022-01-01,0:24:00,-3239862.81,-472036.185,-6274027.764
2022-01-01,0:27:00,-2120897.121,135871.46,-6751051.485
2022-01-01,0:30:00,-910125.242,708312.815,-6983402.235
2022-01-01,0:33:00,347647.727,1222883.041,-6962793.999
2022-01-01,0:36:00,1605418.008,1660456.394,-6689949.416
2022-01-01,0:39:00,2815686.462,2005876.92,-6174585.518
2022-01-01,0:42:00,3932209.214,2248477.428,-5435110.718
2022-01-01,0:45:00,4911739.064,2382408.807,-4498039.124
2022-01-01,0:48:00,5715710.497,2406771.265,-3397124.777
2022-01-01,0:51:00,6311799.754,2325537.073,-2172219.613
2022-01-01,0:54:00,6675292.396,2147263.789,-867879.938
2022-01-01,0:57:00,6790181.704,1884603.017,468244.928
2022-01-01,1:00:00,6649928.086,1553622.076,1787178.661
2022-01-01,1:03:00,6257834.693,1172973.078,3040458.9
2022-01-01,1:06:00,5627010.551,762948.232,4181978.454
2022-01-01,1:09:00,4779913.609,344473.067,5169733.075
2022-01-01,1:12:00,3747505.251,-61906.818,5967397.239
2022-01-01,1:15:00,2568058.298,-436995.773,6545668.276
2022-01-01,1:18:00,1285683.331,-763824.448,6883328.005
2022-01-01,1:21:00,-51362.532,-1028399.539,6968003.468
2022-01-01,1:24:00,-1392523.666,-1220296.794,6796601.226
2022-01-01,1:27:00,-2686876.027,-1333073.9,6375409.571
2022-01-01,1:30:00,-3885074.667,-1364487.062,5719876.454
2022-01-01,1:33:00,-4941265.633,-1316509.006,4854069.222
2022-01-01,1:36:00,-5814890.537,-1195149.221,3809809.139
2022-01-01,1:39:00,-6472298.66,-1010078.449,2625504.243
2022-01-01,1:42:00,-6888098.133,-774075.82,1344725.886
2022-01-01,1:45:00,-7046185.932,-502325.769,14569.418
2022-01-01,1:48:00,-6940387.75,-211599.925,-1316134.159
2022-01-01,1:51:00,-6574677.025,80632.235,-2598666.9
2022-01-01,1:54:00,-5962971.856,357113.845,-3786246.495
2022-01-01,1:57:00,-5128526.222,601686.508,-4835749.465
2022-01-01,2:00:00,-4102953.501,800105.786,-5709254.109
2022-01-01,2:03:00,-2924950.035,940746.499,-6375350.867
2022-01-01,2:06:00,-1638788.119,1015167.268,-6810188.972
2022-01-01,2:09:00,-292645.564,1018518.436,-6998246.0
2022-01-01,2:12:00,1063166.946,949781.063,-6932813.904
2022-01-01,2:15:00,2378028.923,811830.823,-6616213.367
2022-01-01,2:18:00,3602848.058,611325.334,-6059726.82
2022-01-01,2:21:00,4691854.323,358417.26,-5283243.432
2022-01-01,2:24:00,5604299.948,66299.861,-4314625.141
2022-01-01,2:27:00,6306015.767,-249400.745,-3188791.124
2022-01-01,2:30:00,6770755.28,-571367.972,-1946529.834
2022-01-01,2:33:00,6981264.364,-881442.211,-633063.628
2022-01-01,2:36:00,6930009.818,-1161533.071,703593.264
2022-01-01,2:39:00,6619519.178,-1394552.213,2014418.368
2022-01-01,2:42:00,6062302.264,-1565318.024,3251231.918
2022-01-01,2:45:00,5280347.083,-1661379.474,4368527.915
2022-01-01,2:48:00,4304218.343,-1673716.784,5325194.772
2022-01-01,2:51:00,3171810.494,-1597278.973,6086054.249
2022-01-01,2:54:00,1926817.795,-1431334.135,6623160.014
2022-01-01,2:57:00,616996.549,-1179618.982,6916809.542
2022-01-01,3:00:00,-707706.509,-850278.972,6956245.775
2022-01-01,3:03:00,-1997083.133,-455601.089,6740030.909
2022-01-01,3:06:00,-3202580.947,-11549.999,6276094.222
2022-01-01,3:09:00,-4279151.177,462878.247,5581455.795
2022-01-01,3:12:00,-5186968.21,946461.5,4681624.542
2022-01-01,3:15:00,-5892952.907,1416686.292,3609677.785
2022-01-01,3:18:00,-6372031.686,1850773.968,2405046.731
2022-01-01,3:21:00,-6608075.432,2226750.228,1112049.582
2022-01-01,3:24:00,-6594473.172,2524506.175,-221778.509
2022-01-01,3:27:00,-6334302.015,2726793.643,-1547489.691
2022-01-01,3:30:00,-5840087.428,2820101.122,-2816574.388
2022-01-01,3:33:00,-5133170.385,2795367.464,-3982777.047
2022-01-01,3:36:00,-4242720.926,2648494.682,-5003790.327
2022-01-01,3:39:00,-3204465.552,2380641.571,-5842757.115
2022-01-01,3:42:00,-2059204.322,1998293.776,-6469533.618
2022-01-01,3:45:00,-851187.368,1513113.119,-6861691.217
2022-01-01,3:48:00,373582.676,941575.158,-7005235.227
2022-01-01,3:51:00,1569058.283,304414.446,-6895044.833
2022-01-01,3:54:00,2690827.399,-374108.235,-6535037.775
2022-01-01,3:57:00,3697719.027,-1067099.626,-5938048.68
2022-01-01,4:00:00,4553288.672,-1746062.161,-5125425.878
2022-01-01,4:03:00,5227144.781,-2382032.124,-4126349.651
2022-01-01,4:06:00,5696069.723,-2946792.105,-2976867.72
2022-01-01,4:09:00,5944885.007,-3414106.71,-1718661.078
2022-01-01,4:12:00,5967012.898,-3760926.245,-397567.256
2022-01-01,4:15:00,5764696.781,-3968498.693,938089.946
2022-01-01,4:18:00,5348857.377,-4023329.87,2239302.351
2022-01-01,4:21:00,4738578.148,-3917931.533,3458233.006
2022-01-01,4:24:00,3960245.376,-3651311.879,4550030.273
2022-01-01,4:27:00,3046392.307,-3229187.569,5474523.171
2022-01-01,4:30:00,2034301.818,-2663902.309,6197723.619
2022-01-01,4:33:00,964444.67,-1974057.98,6693075.721
2022-01-01,4:36:00,-121174.117,-1183880.735,6942413.121
2022-01-01,4:39:00,-1180688.004,-322347.646,6936602.479
2022-01-01,4:42:00,-2173997.337,577893.393,6675862.662
2022-01-01,4:45:00,-3064300.001,1481773.104,6169756.151
2022-01-01,4:48:00,-3819473.665,2353177.346,5436852.333
2022-01-01,4:51:00,-4413264.3,3156404.608,4504069.046
2022-01-01,4:54:00,-4826235.499,3857650.177,3405699.333
2022-01-01,4:57:00,-5046435.324,4426450.827,2182149.765
2022-01-01,5:00:00,-5069748.204,4837027.281,878432.836
2022-01-01,5:03:00,-4899912.059,5069451.859,-457533.31
2022-01-01,5:06:00,-4548201.955,5110577.989,-1776741.62
2022-01-01,5:09:00,-4032791.626,4954685.971,-3030951.426
2022-01-01,5:12:00,-3377832.3,4603807.163,-4174488.333
2022-01-01,5:15:00,-2612306.951,4067719.277,-5165906.035
2022-01-01,5:18:00,-1768731.307,3363631.138,-5969444.509
2022-01-01,5:21:00,-881769.062,2515584.07,-6556251.995
2022-01-01,5:24:00,13182.286,1553594.984,-6905339.643
2022-01-01,5:27:00,881374.443,512585.931,-7004252.74
2022-01-01,5:30:00,1690017.73,-568862.324,-6849463.73
2022-01-01,5:33:00,2409482.29,-1649901.068,-6446481.039
2022-01-01,5:36:00,3014355.251,-2688907.601,-5809676.994
2022-01-01,5:39:00,3484331.873,-3645047.637,-4961840.807
2022-01-01,5:42:00,3804912.986,-4479868.0,-3933443.392
2022-01-01,5:45:00,3967874.65,-5158850.265,-2761621.126
2022-01-01,5:48:00,3971496.544,-5652871.99,-1488901.597
2022-01-01,5:51:00,3820525.11,-5939504.171,-161688.765
2022-01-01,5:54:00,3525862.281,-6004067.791,1171438.772
2022-01-01,5:57:00,3103988.248,-5840387.235,2461546.119
2022-01-01,6:00:00,2576142.589,-5451188.862,3661197.318
2022-01-01,6:03:00,1967304.678,-4848121.627,4726252.785
2022-01-01,6:06:00,1305032.973,-4051401.703,5617533.351
2022-01-01,6:09:00,618221.296,-3089096.408,6302282.641
2022-01-01,6:12:00,-64168.928,-1996083.276,6755366.227
2022-01-01,6:15:00,-714334.964,-812743.105,6960170.804
2022-01-01,6:18:00,-1306768.751,416561.385,6909194.753
2022-01-01,6:21:00,-1819263.62,1645171.878,6604312.519
2022-01-01,6:24:00,-2233755.486,2825922.765,6056706.543
2022-01-01,6:27:00,-2536970.056,3912971.459,5286471.303
2022-01-01,6:30:00,-2720855.069,4863608.754,4321898.074
2022-01-01,6:33:00,-2782782.968,5639982.337,3198451.282
2022-01-01,6:36:00,-2725511.329,6210655.258,1957459.259
2022-01-01,6:39:00,-2556902.351,6551921.718,644567.3
2022-01-01,6:42:00,-2289414.694,6648816.696,-691985.294
2022-01-01,6:45:00,-1939394.953,6495766.72,-2003194.734
2022-01-01,6:48:00,-1526203.491,6096837.162,-3241149.405
2022-01-01,6:51:00,-1071224.915,5465566.142,-4360805.556
2022-01-01,6:54:00,-596826.552,4624424.542,-5321613.288
2022-01-01,6:57:00,-125314.533,3603937.081,-6088940.053
2022-01-01,7:00:00,322066.56,2441512.616,-6635251.105
2022-01-01,7:03:00,726045.602,1180038.883,-6941014.126
2022-01-01,7:06:00,1070114.719,-133693.133,-6995322.713
2022-01-01,7:09:00,1341174.224,-1450689.019,-6796237.947
2022-01-01,7:12:00,1530013.634,-2721523.5,-6350844.919
2022-01-01,7:15:00,1631619.885,-3898138.605,-5675035.263
2022-01-01,7:18:00,1645303.402,-4935633.806,-4793010.486
2022-01-01,7:21:00,1574636.151,-5793983.105,-3736495.505
2022-01-01,7:24:00,1427200.633,-6439619.326,-2543678.844
2022-01-01,7:27:00,1214154.465,-6846817.919,-1257889.518
2022-01-01,7:30:00,949627.867,-6998805.52,73954.817
2022-01-01,7:33:00,649976.587,-6888525.974,1403074.697
2022-01-01,7:36:00,332928.307,-6519013.782,2680658.502
2022-01-01,7:39:00,16665.536,-5903342.975,3859717.279
2022-01-01,7:42:00,-281108.306,-5064144.402,4896867.823
2022-01-01,7:45:00,-544067.345,-4032729.015,5753963.368
2022-01-01,7:48:00,-758078.02,-2847860.455,6399512.047
2022-01-01,7:51:00,-911892.006,-1554235.485,6809825.221
2022-01-01,7:54:00,-997687.101,-200754.075,6969862.301
2022-01-01,7:57:00,-1011436.727,1161358.855,6873765.667
2022-01-01,8:00:00,-953090.676,2480515.292,6525066.459
2022-01-01,8:03:00,-826559.377,3706738.503,5936558.743
2022-01-01,8:06:00,-639505.987,4793583.524,5129845.503
2022-01-01,8:09:00,-402953.396,5699936.827,4134565.329
2022-01-01,8:12:00,-130721.578,6391624.762,2987314.024
2022-01-01,8:15:00,161278.295,6842762.225,1730297.617
2022-01-01,8:18:00,455864.672,7036777.351,409743.933
2022-01-01,8:21:00,735480.199,6967040.366,-925848.989
2022-01-01,8:24:00,983107.891,6637075.318,-2227550.398
2022-01-01,8:27:00,1183155.833,6060345.151,-3447834.164
2022-01-01,8:30:00,1322269.627,5259633.906,-4542334.013
2022-01-01,8:33:00,1390034.56,4266063.902,-5471444.567
2022-01-01,8:36:00,1379533.656,3117809.125,-6201705.57
2022-01-01,8:39:00,1287738.465,1858577.316,-6706932.873
2022-01-01,8:42:00,1115720.733,535931.041,-6969072.316
2022-01-01,8:45:00,868682.061,-800485.936,-6978774.386
2022-01-01,8:48:00,555799.862,-2100765.651,-6735684.478
2022-01-01,8:51:00,189896.96,-3316539.323,-6248452.416
2022-01-01,8:54:00,-213058.14,-4402731.387,-5534469.33
2022-01-01,8:57:00,-634607.509,-5319216.309,-4619317.181
2022-01-01,9:00:00,-1054597.308,-6032323.435,-3535937.501
2022-01-01,9:03:00,-1452083.983,-6516133.256,-2323522.619
2022-01-01,9:06:00,-1806315.461,-6753502.621,-1026150.658
2022-01-01,9:09:00,-2097742.32,-6736762.156,308801.756
2022-01-01,9:12:00,-2309007.754,-6468033.631,1632411.869
2022-01-01,9:15:00,-2425863.464,-5959139.107,2896052.255
2022-01-01,9:18:00,-2437957.911,-5231098.262,4053237.315
2022-01-01,9:21:00,-2339451.861,-4313238.765,5061385.066
2022-01-01,9:24:00,-2129431.986,-3241971.357,5883417.271
2022-01-01,9:27:00,-1812100.917,-2059289.046,6489134.488
2022-01-01,9:30:00,-1396732.495,-811071.127,6856313.951
2022-01-01,9:33:00,-897401.224,454735.215,6971504.055
2022-01-01,9:36:00,-332498.797,1689981.334,6830495.549
2022-01-01,9:39:00,275952.155,2848166.73,6438469.851
2022-01-01,9:42:00,903164.063,3886209.446,5809814.183
2022-01-01,9:45:00,1522596.051,4766076.136,4967610.776
2022-01-01,9:48:00,2107076.599,5456216.114,3942807.99
2022-01-01,9:51:00,2629993.587,5932739.094,2773093.786
2022-01-01,9:54:00,3066499.531,6180291.826,1501501.19
2022-01-01,9:57:00,3394669.489,6192578.134,174784.264
2022-01-01,10:00:00,3596548.593,5972490.717,-1158353.579
2022-01-01,10:03:00,3659039.322,5531855.878,-2449100.282
2022-01-01,10:06:00,3574582.476,4890808.497,-3650363.606
2022-01-01,10:09:00,3341596.71,4076833.662,-4718506.087
2022-01-01,10:12:00,2964660.398,3123537.524,-5614909.408
2022-01-01,10:15:00,2454437.796,2069217.583,-6307317.555
2022-01-01,10:18:00,1827359.694,955301.896,-6770920.076
2022-01-01,10:21:00,1105079.961,-175270.984,-6989155.774
2022-01-01,10:24:00,313730.308,-1279672.778,-6954238.707
2022-01-01,10:27:00,-517006.41,-2316760.793,-6667399.076
2022-01-01,10:30:00,-1354973.623,-3248561.983,-6138847.165
2022-01-01,10:33:00,-2166746.367,-4041635.986,-5387457.181
2022-01-01,10:36:00,-2918929.642,-4668275.31,-4440170.152
2022-01-01,10:39:00,-3579515.401,-5107507.114,-3331114.111
2022-01-01,10:42:00,-4119242.916,-5345848.177,-2100447.071
2022-01-01,10:45:00,-4512904.196,-5377775.634,-792949.593
2022-01-01,10:48:00,-4740528.189,-5205880.875,543595.652
2022-01-01,10:51:00,-4788376.047,-4840687.362,1860177.779
2022-01-01,10:54:00,-4649687.556,-4300128.999,3108409.051
2022-01-01,10:57:00,-4325133.036,-3608711.852,4242362.561
2022-01-01,11:00:00,-3822946.61,-2796405.025,5220312.696
2022-01-01,11:03:00,-3158732.191,-1897318.685,6006298.042
2022-01-01,11:06:00,-2354960.004,-948245.168,6571448.288
2022-01-01,11:09:00,-1440173.781,12875.433,6895036.768
2022-01-01,11:12:00,-447942.339,948494.545,6965215.15
2022-01-01,11:15:00,584392.435,1822932.67,6779427.352
2022-01-01,11:18:00,1617135.683,2603753.613,6344498.19
2022-01-01,11:21:00,2609779.458,3262982.133,5676389.693
2022-01-01,11:24:00,3522609.049,3778127.149,4799636.318
2022-01-01,11:27:00,4318318.978,4132974.232,3746460.835
2022-01-01,11:30:00,4963569.465,4318114.52,2555599.376
2022-01-01,11:33:00,5430419.4,4331185.976,1270859.359
